Edge ID,Start Node,Start Name,Start Coordinates,End Node,End Name,End Coordinates,distance_km,system_ID,start_point_idx,end_point_idx
pt_51.2258_2.9194-pt_51.3589_1.4394,pt_51.2258_2.9194,"Ostend, Belgium","(2.9194, 51.2258)",pt_51.3589_1.4394,"Broadstairs, Great Britain","(1.4394, 51.3589)",104.29302400949463,2000.35,108,109
pt_52.1833_-6.5544-grid_52.0_-5.8,pt_52.1833_-6.5544,"Ballygrangans, Ireland","(-6.5544, 52.1833)",grid_52.0_-5.8,grid_52.0_-5.8,"(-5.8, 52.0)",55.581764300454715,2000.36,110,111
grid_52.0_-5.8-pt_51.8909_-5.2931,grid_52.0_-5.8,grid_52.0_-5.8,"(-5.8, 52.0)",pt_51.8909_-5.2931,"Whitesands Bay, Great Britain","(-5.2931, 51.8909)",36.90848081421734,2000.36,111,112
pt_50.824_-4.542-grid_52.0_-5.8,pt_50.824_-4.542,"Bude, Great Britain","(-4.542, 50.824)",grid_52.0_-5.8,grid_52.0_-5.8,"(-5.8, 52.0)",157.40761285253743,2000.36,113,111
grid_52.0_-5.8-pt_52.4036_-6.3572,grid_52.0_-5.8,grid_52.0_-5.8,"(-5.8, 52.0)",pt_52.4036_-6.3572,"Ballinesker, Ireland","(-6.3572, 52.4036)",58.88985210518569,2000.36,111,114
pt_26.011201_-80.14949-pt_18.453889_-66.0825,pt_26.011201_-80.14949,"Hollywood, United States","(-80.1494901, 26.0112014)",pt_18.453889_-66.0825,"Miramar, Puerto Rico","(-66.0825, 18.453889)",1672.5225908321572,2000.3,115,116
pt_18.453889_-66.0825-pt_17.732_-64.748,pt_18.453889_-66.0825,"Miramar, Puerto Rico","(-66.0825, 18.453889)",pt_17.732_-64.748,"St. Croix, nan","(-64.748, 17.732)",162.28611330103308,2000.3,116,117
pt_-3.7275_-38.5275-grid_8.2_-50.1,pt_-3.7275_-38.5275,"Fortaleza, Brazil","(-38.5275, -3.7275)",grid_8.2_-50.1,grid_8.2_-50.1,"(-50.1, 8.2)",1841.3811677440422,2000.3,118,119
grid_8.2_-50.1-grid_14.0_-58.8,grid_8.2_-50.1,grid_8.2_-50.1,"(-50.1, 8.2)",grid_14.0_-58.8,grid_14.0_-58.8,"(-58.8, 14.0)",1146.3458132479739,2000.3,119,120
grid_14.0_-58.8-grid_15.0_-60.3,grid_14.0_-58.8,grid_14.0_-58.8,"(-58.8, 14.0)",grid_15.0_-60.3,grid_15.0_-60.3,"(-60.3, 15.0)",195.924225668681,2000.3,120,121
grid_15.0_-60.3-grid_16.6_-62.6,grid_15.0_-60.3,grid_15.0_-60.3,"(-60.3, 15.0)",grid_16.6_-62.6,grid_16.6_-62.6,"(-62.6, 16.6)",303.423000094836,2000.3,121,122
grid_16.6_-62.6-pt_17.732_-64.748,grid_16.6_-62.6,grid_16.6_-62.6,"(-62.6, 16.6)",pt_17.732_-64.748,"St. Croix, nan","(-64.748, 17.732)",260.61063583062054,2000.3,122,117
pt_14.6153_-61.0019-grid_15.0_-60.3,pt_14.6153_-61.0019,"Le Lemantin, nan","(-61.0019, 14.6153)",grid_15.0_-60.3,grid_15.0_-60.3,"(-60.3, 15.0)",86.72163674332845,2000.3,123,121
pt_10.6833_-61.6333-grid_14.0_-58.8,pt_10.6833_-61.6333,"Chaguaramas, nan","(-61.6333, 10.6833)",grid_14.0_-58.8,grid_14.0_-58.8,"(-58.8, 14.0)",479.11905403252484,2000.3,124,120
pt_4.9386_-52.335-grid_8.2_-50.1,pt_4.9386_-52.335,"Cayenne, nan","(-52.335, 4.9386)",grid_8.2_-50.1,grid_8.2_-50.1,"(-50.1, 8.2)",437.22494932197907,2000.3,125,119
pt_10.620656_-66.715195-grid_11.2_-66.5,pt_10.620656_-66.715195,"Camuri, Venezuela","(-66.7151951, 10.6206563)",grid_11.2_-66.5,grid_11.2_-66.5,"(-66.5, 11.2)",68.26517821253557,2000.3,126,127
grid_11.2_-66.5-grid_16.6_-62.6,grid_11.2_-66.5,grid_11.2_-66.5,"(-66.5, 11.2)",grid_16.6_-62.6,grid_16.6_-62.6,"(-62.6, 16.6)",731.0698220483604,2000.3,127,122
pt_12.108_-68.935-grid_11.2_-66.5,pt_12.108_-68.935,"Willemstad, nan","(-68.935, 12.108)",grid_11.2_-66.5,grid_11.2_-66.5,"(-66.5, 11.2)",283.8712821092994,2000.3,128,127
pt_14.9177_-23.5092-grid_-4.0_-28.5,pt_14.9177_-23.5092,"Praia, nan","(-23.5092, 14.9177)",grid_-4.0_-28.5,grid_-4.0_-28.5,"(-28.5, -4.0)",2163.3978621926676,2000.5,129,130
grid_-4.0_-28.5-pt_-36.4833_-56.7,grid_-4.0_-28.5,grid_-4.0_-28.5,"(-28.5, -4.0)",pt_-36.4833_-56.7,"Las Toninas, Argentina","(-56.7, -36.4833)",4611.477944651488,2000.5,130,131
pt_14.916281_-23.50951-grid_15.0_-23.4,pt_14.916281_-23.50951,"Praia, nan","(-23.5095095, 14.9162811)",grid_15.0_-23.4,grid_15.0_-23.4,"(-23.4, 15.0)",14.985998822738921,2000.5,132,133
grid_15.0_-23.4-grid_28.2_-17.0,grid_15.0_-23.4,grid_15.0_-23.4,"(-23.4, 15.0)",grid_28.2_-17.0,grid_28.2_-17.0,"(-17.0, 28.2)",1603.9310963269947,2000.5,133,134
grid_28.2_-17.0-pt_38.707751_-9.136592,grid_28.2_-17.0,grid_28.2_-17.0,"(-17.0, 28.2)",pt_38.707751_-9.136592,"Lisbon, Portugal","(-9.1365919, 38.7077507)",1374.4202294994177,2000.5,134,135
pt_14.9177_-23.5092-grid_15.0_-23.4,pt_14.9177_-23.5092,"Praia, nan","(-23.5092, 14.9177)",grid_15.0_-23.4,grid_15.0_-23.4,"(-23.4, 15.0)",14.863107117772497,2000.5,129,133
