Node ID,Name,Longitude,Latitude,Hop_ID,system_ID,Country
pt_26.9125_-77.8219,"Crown Haven, nan",-77.8219,26.9125,194,2001.2,Bahamas
pt_26.00529_-77.405494,"Sandy Point, nan",-77.405494,26.00529,195,2001.2,Bahamas
pt_25.405513_-76.79067,"Current, nan",-76.79067,25.405513,196,2001.2,Bahamas
pt_25.069512_-77.450444,"Caves Point, nan",-77.450444,25.069512,197,2001.2,Bahamas
pt_27.3225_-80.3342,"Spanish River Park, United States",-80.3342,27.3225,198,2001.2,United States
pt_43.2114_27.9111,"Varna, Bulgaria",27.9111,43.2114,199,2001.21,Bulgaria
grid_44.6_31.1,grid_44.6_31.1,31.1,44.6,200,2001.21,grid_44.6_31.1
pt_46.4775_30.7326,"Odessa, Ukraine",30.7326,46.4775,201,2001.21,Ukraine
pt_44.7167_37.7667,"Novorossijsk, Russia",37.7667,44.7167,202,2001.21,Russia
pt_57.245803_10.546856,"Lyngas, Denmark",10.546856,57.245803,203,2001.23,Denmark
pt_57.287929_10.91751,"Vestero, Denmark",10.91751,57.287929,204,2001.23,Denmark
pt_57.321261_11.13045,"Osterby, Denmark",11.13045,57.321261,205,2001.23,Denmark
pt_56.683507_12.680755,"Skalvik, Sweden",12.680755,56.683507,206,2001.23,Sweden
pt_57.3327_10.5267,"Saeby, Denmark",10.5267,57.3327,207,2001.26,Denmark
pt_57.4875_12.0764,"Kungsbacka, Sweden",12.0764,57.4875,208,2001.26,Sweden
pt_55.2047_-6.6522,"Portrush, Great Britain",-6.6522,55.2047,209,2001.2,United Kingdom
pt_53.6469_-3.0081,"Ainsdale Sands, Great Britain",-3.0081,53.6469,210,2001.2,United Kingdom
pt_44.5711_-63.5583,"Halifax, Canada",-63.5583,44.5711,211,2001.2,Canada
grid_55.6_-14.2,grid_55.6_-14.2,-14.2,55.6,212,2001.2,grid_55.6_-14.2
pt_53.3965_-6.1266,"Baldoyle, Ireland",-6.1266,53.3965,213,2001.2,Ireland
pt_42.4667_-70.95,"Lynn, United States",-70.95,42.4667,214,2001.2,United States
pt_63.442_-18.914,"nan, Iceland",-18.914,63.442,215,2001.2,Iceland
pt_32.08_34.78,"Tel Aviv, Israel",34.78,32.08,216,2001.3,Israel
pt_37.5027_15.0873,"Catania, Italy",15.0873,37.5027,217,2001.3,Italy
pt_35.5167_24.0167,"Chania, Greece",24.0167,35.5167,218,2001.3,Greece
pt_32.8192_34.9992,"Haifa, Israel",34.9992,32.8192,219,2001.3,Israel
grid_33.3_33.2,grid_33.3_33.2,33.2,33.3,220,2001.3,grid_33.3_33.2
grid_35.8_24.6,grid_35.8_24.6,24.6,35.8,221,2001.3,grid_35.8_24.6
pt_37.9842_23.7281,"Athens, Greece",23.7281,37.9842,222,2001.3,Greece
pt_34.9167_33.6333,"Pentaskhinos, Cyprus",33.6333,34.9167,223,2001.3,Cyprus
pt_41.01_28.9603,"Istanbul, Turkey",28.9603,41.01,224,2001.3,Turkey
grid_38.2_24.6,grid_38.2_24.6,24.6,38.2,225,2001.3,grid_38.2_24.6
pt_35.0432_139.84,"Maruyama, Japan",139.84,35.0432,226,2001.6,Japan
grid_34.5_140.1,grid_34.5_140.1,140.1,34.5,227,2001.6,grid_34.5_140.1
grid_13.9_146.8,grid_13.9_146.8,146.8,13.9,228,2001.6,grid_13.9_146.8
pt_-33.74_151.2428,"Oxford Falls, Australia",151.2428,-33.74,229,2001.6,Australia
pt_-33.869844_151.208285,"Sydney, Australia",151.2082848,-33.8698439,230,2001.6,Australia
pt_34.3282_136.8297,"Shima, Japan",136.8297,34.3282,231,2001.6,Japan
pt_13.54325_144.808333,"Tanguisson, nan",144.8083333,13.54325,232,2001.6,Guam
pt_13.511_144.809,"Tumon, nan",144.809,13.511,233,2001.6,Guam
grid_35.026471_139.82451,grid_35.026471_139.82451,139.8245098039216,35.02647059,234,2001.6,grid_35.026471_139.82451
pt_51.293166_-3.013273,"Brean, Great Britain",-3.013273,51.293166,235,2001.7,United Kingdom
